Data;Last;Open;High;Close
20191018;104728.89;105011.71;105464.25;104524.97
20191017;105015.77;105388.63;105891.19;104826.61
20191016;105422.8;104485.87;105462.07;103521.08
20191015;104489.56;104298.53;105047.62;104052.48
20191014;104301.58;103833.59;104304.85;103438.47
20191011;103831.92;101818.6;104380.89;101818.6
20191010;101817.13;101243.74;102482.98;101152.12
20191009;101248.78;100005.44;101566.59;100005.44
20191008;99981.4;100564.6;101296.28;99867.59
20191007;100572.77;102546.02;102546.02;100541.89
20191004;102551.32;101516.04;102579.55;101057.36
20191003;101516.04;101031.44;101560.23;99826.3
20191002;101031.44;104049.12;104049.12;100943.82
20191001;104053.4;104745.06;105121.16;103837.47
20190930;104745.32;105077.45;105177.5;104638.18
20190927;105077.63;105319.4;105632.94;104505.69
20190926;105319.4;104485.18;105342.3;104337.39
20190925;104480.98;103856.87;104480.98;103033.84
20190924;103875.66;104637.51;104892.9;103503.53
20190923;104637.82;104817.39;104817.39;104019.5
20190920;104817.4;104339.16;105044.5;103913.5
20190919;104339.16;104555.31;106001.35;104285.83
20190918;104531.93;104616.28;104761.84;103684.12
20190917;104616.86;103679.69;104618.93;103078.89
20190916;103680.41;103495.52;104004.61;102782.33
20190913;103501.18;104371.1;104699.2;103274.91
20190912;104370.91;103452.52;104618.01;103452.52
20190911;103445.6;103035.89;104155.86;103035.89
20190910;103031.5;103179.94;103503.45;102230.73
20190909;103180.59;102936.68;104259.77;102792.78
20190906;102935.43;102246.83;103181.64;102245.98
20190905;102243;101203.84;103258.48;101203.84
20190904;101200.89;99705.69;101200.89;99705.69
20190903;99680.83;100626.38;101416.66;99406.15
20190902;100625.74;101132.51;101611.02;100625.74
20190830;101134.61;100526.27;101551.35;100526.27
20190829;100524.43;98194.11;100683.87;98194.11
20190828;98193.53;97273.35;98346.03;96557.06
20190827;97276.19;96434.3;97950.98;95855.3
20190826;96429.6;97686.54;98435.96;95960.74
20190823;97667.49;100007.25;100024.83;97085.21
20190822;100011.28;101209.02;101469.05;100011.28
20190821;101201.9;99227.12;101240.13;99221.27
20190820;99222.25;99471.93;99664.75;98002.03
20190819;99468.67;99809.52;100947.6;98908.19
20190816;99805.78;99059.12;100566.93;99059.12
20190815;99056.91;100262.03;101014.41;98200.36
20190814;100258.01;103270.08;103270.08;99954.75
20190813;103299.47;101912.15;103778.22;101414.44
20190812;101915.22;103945.84;103945.84;101621.22
20190809;103996.16;104101.95;104848.18;103546.67
20190808;104115.23;102782.37;104281.89;102782.37
20190807;102782.37;102163.25;102784.21;100476.12
20190806;102163.69;100097.51;102178.08;100097.51
20190805;100097.75;102657.77;102657.77;99630.09
20190802;102673.68;102122.39;103179.66;101667.02
20190801;102125.94;101818.93;104055.69;101818.93
20190731;101812.13;102945.65;103128.7;100950.36
20190730;102932.76;103482.87;103554.99;102596.13
20190729;103482.63;102817.42;103482.63;102460.82
20190726;102818.93;102653.9;103209.05;102196.31
20190725;102654.58;104118.8;104439.7;102390.47
20190724;104119.54;103706.64;104570.36;103706.64
20190723;103704.28;103949.46;104429.57;103518.2
20190722;103949.46;103451.93;104278.14;103451.93
20190719;103451.93;104716.41;104722.64;103387.84
20190718;104716.59;103859.36;104773.05;103859.36
20190717;103855.53;103775.14;104453.09;103711.71
20190716;103775.41;103805.39;104439.98;103361.08
20190715;103802.69;103909.11;104577.91;103494.84
20190712;103905.99;105157.57;105730.54;103903.06
20190711;105146.44;105818.26;105885.5;104813.51
20190710;105817.06;104536.7;106650.12;104536.7
