Data;CDI;SELIC
06/03/2015;12.6;12.65
09/03/2015;12.6;12.65
10/03/2015;12.6;12.65
11/03/2015;12.6;12.65
12/03/2015;12.6;12.65
13/03/2015;12.6;12.65
16/03/2015;12.6;12.65
17/03/2015;12.6;12.65
18/03/2015;12.6;12.65
19/03/2015;12.6;12.65
20/03/2015;12.6;12.65
23/03/2015;12.61;12.65
24/03/2015;12.61;12.65
25/03/2015;12.61;12.65
26/03/2015;12.61;12.65
27/03/2015;12.61;12.65
30/03/2015;12.6;12.65
31/03/2015;12.6;12.65
01/04/2015;12.6;12.65
02/04/2015;12.6;12.65
06/04/2015;12.6;12.65
07/04/2015;12.6;12.65
08/04/2015;12.6;12.65
09/04/2015;12.6;12.65
10/04/2015;12.6;12.65
13/04/2015;12.6;12.65
14/04/2015;12.6;12.65
15/04/2015;12.6;12.65
16/04/2015;12.6;12.65
17/04/2015;12.6;12.65
20/04/2015;12.6;12.65
22/04/2015;12.6;12.65
23/04/2015;12.6;12.65
24/04/2015;12.6;12.65
27/04/2015;12.61;12.66
28/04/2015;12.62;12.67
29/04/2015;12.62;12.67
30/04/2015;13.11;13.15
04/05/2015;13.11;13.15
05/05/2015;13.13;13.15
06/05/2015;13.13;13.15
07/05/2015;13.13;13.15
08/05/2015;13.13;13.15
11/05/2015;13.13;13.15
12/05/2015;13.13;13.15
13/05/2015;13.13;13.15
14/05/2015;13.13;13.15
15/05/2015;13.13;13.15
18/05/2015;13.13;13.15
19/05/2015;13.13;13.15
20/05/2015;13.13;13.15
21/05/2015;13.13;13.15
22/05/2015;13.13;13.15
25/05/2015;13.13;13.15
26/05/2015;13.13;13.15
27/05/2015;13.13;13.15
28/05/2015;13.13;13.15
29/05/2015;13.13;13.15
01/06/2015;13.13;13.15
02/06/2015;13.13;13.15
03/06/2015;13.13;13.15
05/06/2015;13.64;13.65
08/06/2015;13.64;13.65
09/06/2015;13.64;13.65
10/06/2015;13.64;13.65
11/06/2015;13.64;13.65
12/06/2015;13.64;13.65
15/06/2015;13.64;13.65
16/06/2015;13.64;13.65
17/06/2015;13.64;13.65
18/06/2015;13.64;13.65
19/06/2015;13.64;13.65
22/06/2015;13.64;13.65
23/06/2015;13.64;13.65
24/06/2015;13.64;13.65
25/06/2015;13.64;13.65
26/06/2015;13.64;13.65
29/06/2015;13.64;13.65
30/06/2015;13.64;13.65
01/07/2015;13.64;13.65
02/07/2015;13.64;13.65
03/07/2015;13.64;13.65
06/07/2015;13.64;13.65
07/07/2015;13.64;13.65
08/07/2015;13.64;13.65
09/07/2015;13.64;13.65
10/07/2015;13.64;13.65
13/07/2015;13.64;13.65
14/07/2015;13.64;13.65
15/07/2015;13.64;13.65
16/07/2015;13.64;13.65
17/07/2015;13.64;13.65
20/07/2015;13.64;13.65
21/07/2015;13.64;13.65
22/07/2015;13.64;13.65
23/07/2015;13.64;13.65
24/07/2015;13.64;13.65
27/07/2015;13.64;13.65
28/07/2015;13.64;13.65
29/07/2015;13.64;13.65
30/07/2015;14.13;14.15
31/07/2015;14.13;14.15
03/08/2015;14.13;14.15
04/08/2015;14.13;14.15
05/08/2015;14.13;14.15
06/08/2015;14.13;14.15
07/08/2015;14.13;14.15
10/08/2015;14.13;14.15
11/08/2015;14.13;14.15
12/08/2015;14.13;14.15
13/08/2015;14.13;14.15
14/08/2015;14.13;14.15
17/08/2015;14.13;14.15
18/08/2015;14.13;14.15
19/08/2015;14.13;14.15
20/08/2015;14.13;14.15
21/08/2015;14.13;14.15
24/08/2015;14.13;14.15
25/08/2015;14.13;14.15
26/08/2015;14.13;14.15
27/08/2015;14.13;14.15
28/08/2015;14.13;14.15
31/08/2015;14.13;14.15
01/09/2015;14.13;14.15
02/09/2015;14.13;14.15
03/09/2015;14.13;14.15
04/09/2015;14.13;14.15
08/09/2015;14.13;14.15
09/09/2015;14.13;14.15
10/09/2015;14.13;14.15
11/09/2015;14.13;14.15
14/09/2015;14.13;14.15
15/09/2015;14.13;14.15
16/09/2015;14.13;14.15
17/09/2015;14.13;14.15
18/09/2015;14.13;14.15
21/09/2015;14.13;14.15
22/09/2015;14.13;14.15
23/09/2015;14.13;14.15
24/09/2015;14.13;14.15
25/09/2015;14.13;14.15
28/09/2015;14.13;14.15
29/09/2015;14.13;14.15
30/09/2015;14.13;14.15
01/10/2015;14.13;14.15
02/10/2015;14.13;14.15
05/10/2015;14.13;14.15
06/10/2015;14.13;14.15
07/10/2015;14.13;14.15
08/10/2015;14.13;14.15
09/10/2015;14.13;14.15
13/10/2015;14.13;14.15
14/10/2015;14.13;14.15
15/10/2015;14.13;14.15
16/10/2015;14.13;14.15
19/10/2015;14.13;14.15
20/10/2015;14.13;14.15
21/10/2015;14.13;14.15
22/10/2015;14.14;14.15
23/10/2015;14.14;14.15
26/10/2015;14.14;14.15
27/10/2015;14.14;14.15
28/10/2015;14.14;14.15
29/10/2015;14.14;14.15
30/10/2015;14.14;14.15
03/11/2015;14.14;14.15
04/11/2015;14.14;14.15
05/11/2015;14.14;14.15
06/11/2015;14.14;14.15
09/11/2015;14.14;14.15
10/11/2015;14.14;14.15
11/11/2015;14.14;14.15
12/11/2015;14.14;14.15
13/11/2015;14.14;14.15
16/11/2015;14.14;14.15
17/11/2015;14.14;14.15
18/11/2015;14.14;14.15
19/11/2015;14.14;14.15
