,Data do Pregao,Data de Vencimento do Contrato,Indicador de Tipo de Opcao,Preco de Exercicio,Valor da Volatilidade,Valor do Delta
2288,20091109,20100217,C,60000.0,33.378,0.7089
2289,20091109,20100217,C,45000.0,39.045,0.9523
2290,20091109,20100217,C,46000.0,38.867,0.9459
2291,20091109,20100217,C,47000.0,38.672,0.9383
2292,20091109,20100217,C,48000.0,38.455,0.9295
2293,20091109,20100217,C,49000.0,38.213,0.9194
2294,20091109,20100217,C,61000.0,32.785,0.6793
2295,20091109,20100217,C,62000.0,32.183,0.6477
2296,20091109,20100217,C,63000.0,31.573,0.6143
2297,20091109,20100217,C,64000.0,30.961,0.5791
2298,20091109,20100217,C,65000.0,30.357,0.5422
2299,20091109,20100217,C,35000.0,39.6,0.9767
2300,20091109,20100217,C,40000.0,39.6,0.9713
2301,20091109,20100217,C,70000.0,27.801,0.3465
2302,20091109,20100217,C,75000.0,26.469,0.1806
2303,20091109,20100217,C,80000.0,26.029,0.0806
2304,20091109,20100217,C,66000.0,29.772,0.504
2305,20091109,20100217,C,67000.0,29.216,0.4648
2306,20091109,20100217,C,68000.0,28.698,0.4251
2307,20091109,20100217,C,69000.0,28.224,0.3855
2308,20091109,20100217,C,71000.0,27.432,0.3089
2309,20091109,20100217,C,50000.0,37.942,0.908
2310,20091109,20100217,C,51000.0,37.638,0.8951
2311,20091109,20100217,C,52000.0,37.298,0.8809
2312,20091109,20100217,C,53000.0,36.918,0.8652
2313,20091109,20100217,C,54000.0,36.5,0.848
2314,20091109,20100217,C,55000.0,36.047,0.8292
2315,20091109,20100217,C,56000.0,35.563,0.8087
2316,20091109,20100217,C,57000.0,35.051,0.7865
2317,20091109,20100217,C,58000.0,34.514,0.7625
2318,20091109,20100217,C,59000.0,33.955,0.7367
2319,20091109,20100217,C,72000.0,27.117,0.2731
2320,20091109,20100217,C,73000.0,26.854,0.2396
2321,20091109,20100217,C,74000.0,26.64,0.2087
2322,20091109,20100217,V,60000.0,33.378,-0.2686
2323,20091109,20100217,V,45000.0,39.045,-0.05
2324,20091109,20100217,V,46000.0,38.867,-0.05
2325,20091109,20100217,V,47000.0,38.672,-0.05
2326,20091109,20100217,V,48000.0,38.455,-0.05
2327,20091109,20100217,V,49000.0,38.213,-0.0581
2328,20091109,20100217,V,61000.0,32.785,-0.2982
2329,20091109,20100217,V,62000.0,32.183,-0.3298
2330,20091109,20100217,V,63000.0,31.573,-0.3632
2331,20091109,20100217,V,64000.0,30.961,-0.3984
2332,20091109,20100217,V,65000.0,30.357,-0.4353
2333,20091109,20100217,V,35000.0,39.6,-0.05
2334,20091109,20100217,V,40000.0,39.6,-0.05
2335,20091109,20100217,V,70000.0,27.801,-0.631
2336,20091109,20100217,V,75000.0,26.469,-0.7969
2337,20091109,20100217,V,80000.0,26.029,-0.8969
2338,20091109,20100217,V,66000.0,29.772,-0.4735
2339,20091109,20100217,V,67000.0,29.216,-0.5127
2340,20091109,20100217,V,68000.0,28.698,-0.5524
2341,20091109,20100217,V,69000.0,28.224,-0.592
2342,20091109,20100217,V,71000.0,27.432,-0.6686
2343,20091109,20100217,V,50000.0,37.942,-0.0696
2344,20091109,20100217,V,51000.0,37.638,-0.0824
2345,20091109,20100217,V,52000.0,37.298,-0.0966
2346,20091109,20100217,V,53000.0,36.918,-0.1123
2347,20091109,20100217,V,54000.0,36.5,-0.1295
2348,20091109,20100217,V,55000.0,36.047,-0.1483
2349,20091109,20100217,V,56000.0,35.563,-0.1688
2350,20091109,20100217,V,57000.0,35.051,-0.191
2351,20091109,20100217,V,58000.0,34.514,-0.215
2352,20091109,20100217,V,59000.0,33.955,-0.2408
2353,20091109,20100217,V,72000.0,27.117,-0.7044
2354,20091109,20100217,V,73000.0,26.854,-0.7379
2355,20091109,20100217,V,74000.0,26.64,-0.7688
2356,20091109,20100414,C,60000.0,33.013,0.6903
2357,20091109,20100414,C,61000.0,32.527,0.6662
2358,20091109,20100414,C,62000.0,32.036,0.6409
2359,20091109,20100414,C,63000.0,31.543,0.6144
2360,20091109,20100414,C,64000.0,31.051,0.5869
2361,20091109,20100414,C,65000.0,30.564,0.5583
2362,20091109,20100414,C,66000.0,30.086,0.5289
2363,20091109,20100414,C,67000.0,29.622,0.4987
2364,20091109,20100414,C,68000.0,29.177,0.468
2365,20091109,20100414,C,69000.0,28.754,0.437
2366,20091109,20100414,C,70000.0,28.358,0.4059
2367,20091109,20100414,C,71000.0,27.993,0.3751
2368,20091109,20100414,C,72000.0,27.662,0.3449
2369,20091109,20100414,C,73000.0,27.368,0.3155
2370,20091109,20100414,C,74000.0,27.107,0.2873
2371,20091109,20100414,C,75000.0,26.881,0.2605
2372,20091109,20100414,C,50000.0,37.115,0.8683
2373,20091109,20100414,C,51000.0,36.798,0.8553
2374,20091109,20100414,C,52000.0,36.455,0.8414
2375,20091109,20100414,C,53000.0,36.088,0.8264
2376,20091109,20100414,C,54000.0,35.698,0.8103
2377,20091109,20100414,C,55000.0,35.289,0.7932
2378,20091109,20100414,C,56000.0,34.862,0.7749
2379,20091109,20100414,C,57000.0,34.419,0.7555
2380,20091109,20100414,C,58000.0,33.962,0.735
2381,20091109,20100414,C,59000.0,33.492,0.7132
2382,20091109,20100414,V,60000.0,33.013,-0.2743
2383,20091109,20100414,V,61000.0,32.527,-0.2984
2384,20091109,20100414,V,62000.0,32.036,-0.3237
2385,20091109,20100414,V,63000.0,31.543,-0.3502
2386,20091109,20100414,V,64000.0,31.051,-0.3777
2387,20091109,20100414,V,65000.0,30.564,-0.4062
2388,20091109,20100414,V,66000.0,30.086,-0.4357
2389,20091109,20100414,V,67000.0,29.622,-0.4659
2390,20091109,20100414,V,68000.0,29.177,-0.4966
2391,20091109,20100414,V,69000.0,28.754,-0.5276
2392,20091109,20100414,V,70000.0,28.358,-0.5587
2393,20091109,20100414,V,71000.0,27.993,-0.5895
2394,20091109,20100414,V,72000.0,27.662,-0.6197
2395,20091109,20100414,V,73000.0,27.368,-0.649
2396,20091109,20100414,V,74000.0,27.107,-0.6772
2397,20091109,20100414,V,75000.0,26.881,-0.7041
2398,20091109,20100414,V,50000.0,37.115,-0.0963
2399,20091109,20100414,V,51000.0,36.798,-0.1092
2400,20091109,20100414,V,52000.0,36.455,-0.1232
2401,20091109,20100414,V,53000.0,36.088,-0.1382
2402,20091109,20100414,V,54000.0,35.698,-0.1542
2403,20091109,20100414,V,55000.0,35.289,-0.1714
2404,20091109,20100414,V,56000.0,34.862,-0.1896
2405,20091109,20100414,V,57000.0,34.419,-0.209
2406,20091109,20100414,V,58000.0,33.962,-0.2296
2407,20091109,20100414,V,59000.0,33.492,-0.2513
2408,20091109,20100616,C,60000.0,32.513,0.6803
2409,20091109,20100616,C,61000.0,32.076,0.66
2410,20091109,20100616,C,62000.0,31.637,0.6388
2411,20091109,20100616,C,63000.0,31.197,0.6168
2412,20091109,20100616,C,64000.0,30.758,0.5939
2413,20091109,20100616,C,65000.0,30.323,0.5704
2414,20091109,20100616,C,40000.0,38.593,0.9213
2415,20091109,20100616,C,41000.0,38.437,0.916
2416,20091109,20100616,C,42000.0,38.271,0.9101
2417,20091109,20100616,C,43000.0,38.094,0.9035
2418,20091109,20100616,C,44000.0,37.903,0.8962
2419,20091109,20100616,C,45000.0,37.697,0.8883
2420,20091109,20100616,C,46000.0,37.475,0.8796
2421,20091109,20100616,C,47000.0,37.234,0.8703
2422,20091109,20100616,C,48000.0,36.974,0.8602
