,Data do Pregao,Ativo,DU,Taxa,Fixo/Movel
1235,20050103,DIxPRE,1,17.76,F
1236,20050103,DIxPRE,21,17.89,M
1237,20050103,DIxPRE,22,17.91,F
1238,20050103,DIxPRE,42,18.1,F
1239,20050103,DIxPRE,61,18.21,M
1240,20050103,DIxPRE,62,18.22,F
1241,20050103,DIxPRE,82,18.28,F
1242,20050103,DIxPRE,103,18.32,F
1243,20050103,DIxPRE,124,18.35,M
1244,20050103,DIxPRE,127,18.34,F
1245,20050103,DIxPRE,145,18.31,F
1246,20050103,DIxPRE,167,18.28,F
1247,20050103,DIxPRE,188,18.26,F
1248,20050103,DIxPRE,189,18.26,M
1249,20050103,DIxPRE,208,18.12,F
1250,20050103,DIxPRE,227,18.0,F
1251,20050103,DIxPRE,251,17.88,F
1252,20050103,DIxPRE,271,17.79,F
1253,20050103,DIxPRE,291,17.71,F
1254,20050103,DIxPRE,311,17.64,F
1255,20050103,DIxPRE,314,17.63,M
1256,20050103,DIxPRE,331,17.56,F
1257,20050103,DIxPRE,351,17.49,F
1258,20050103,DIxPRE,371,17.42,F
1259,20050103,DIxPRE,375,17.41,M
1260,20050103,DIxPRE,393,17.36,F
1261,20050103,DIxPRE,415,17.3,F
1262,20050103,DIxPRE,434,17.26,F
1263,20050103,DIxPRE,439,17.25,M
1264,20050103,DIxPRE,455,17.21,F
1265,20050103,DIxPRE,475,17.16,F
1266,20050103,DIxPRE,496,17.12,F
1267,20050103,DIxPRE,500,17.11,M
1268,20050103,DIxPRE,515,17.09,F
1269,20050103,DIxPRE,535,17.06,F
1270,20050103,DIxPRE,557,17.03,F
1271,20050103,DIxPRE,562,17.02,M
1272,20050103,DIxPRE,576,17.0,F
1273,20050103,DIxPRE,597,16.98,F
1274,20050103,DIxPRE,618,16.96,F
1275,20050103,DIxPRE,624,16.95,M
1276,20050103,DIxPRE,639,16.94,F
1277,20050103,DIxPRE,660,16.92,F
1278,20050103,DIxPRE,681,16.91,F
1279,20050103,DIxPRE,688,16.9,M
1280,20050103,DIxPRE,702,16.89,F
1281,20050103,DIxPRE,720,16.88,F
1282,20050103,DIxPRE,742,16.86,F
1283,20050103,DIxPRE,750,16.86,M
1284,20050103,DIxPRE,762,16.86,F
1285,20050103,DIxPRE,781,16.86,F
1286,20050103,DIxPRE,802,16.86,F
1287,20050103,DIxPRE,811,16.86,M
1288,20050103,DIxPRE,823,16.86,F
1289,20050103,DIxPRE,873,16.86,M
1290,20050103,DIxPRE,939,16.86,M
1291,20050103,DIxPRE,992,16.86,F
1292,20050103,DIxPRE,1004,16.86,M
1293,20050103,DIxPRE,1237,16.86,F
1294,20050103,DIxPRE,1254,16.86,M
1295,20050103,DIxPRE,1484,16.86,F
1296,20050103,DIxPRE,1505,16.86,M
1297,20050103,DIxPRE,1731,16.86,F
1298,20050103,DIxPRE,1756,16.86,M
1299,20050103,DIxPRE,1980,16.86,F
1216,20050104,DIxPRE,1,17.72,F
1217,20050104,DIxPRE,20,17.93,M
1218,20050104,DIxPRE,22,17.96,F
1219,20050104,DIxPRE,42,18.13,F
1220,20050104,DIxPRE,60,18.24,M
1221,20050104,DIxPRE,61,18.24,F
1222,20050104,DIxPRE,82,18.29,F
1223,20050104,DIxPRE,103,18.32,F
1224,20050104,DIxPRE,123,18.34,M
1225,20050104,DIxPRE,126,18.33,F
1226,20050104,DIxPRE,145,18.29,F
1227,20050104,DIxPRE,167,18.26,F
1228,20050104,DIxPRE,188,18.24,F
1229,20050104,DIxPRE,207,18.12,F
1230,20050104,DIxPRE,227,18.02,F
1231,20050104,DIxPRE,250,17.92,F
1232,20050104,DIxPRE,270,17.81,F
1233,20050104,DIxPRE,290,17.72,F
1234,20050104,DIxPRE,311,17.64,F
1235,20050104,DIxPRE,313,17.63,M
1236,20050104,DIxPRE,331,17.56,F
1237,20050104,DIxPRE,350,17.49,F
1238,20050104,DIxPRE,371,17.43,F
1239,20050104,DIxPRE,374,17.42,M
1240,20050104,DIxPRE,393,17.37,F
1241,20050104,DIxPRE,414,17.32,F
1242,20050104,DIxPRE,434,17.28,F
1243,20050104,DIxPRE,438,17.27,M
1244,20050104,DIxPRE,455,17.23,F
1245,20050104,DIxPRE,475,17.19,F
1246,20050104,DIxPRE,495,17.15,F
1247,20050104,DIxPRE,499,17.14,M
1248,20050104,DIxPRE,515,17.12,F
1249,20050104,DIxPRE,535,17.09,F
1250,20050104,DIxPRE,556,17.07,F
1251,20050104,DIxPRE,561,17.06,M
1252,20050104,DIxPRE,576,17.04,F
1253,20050104,DIxPRE,597,17.02,F
1254,20050104,DIxPRE,618,17.0,F
1255,20050104,DIxPRE,623,16.99,M
1256,20050104,DIxPRE,638,16.98,F
1257,20050104,DIxPRE,660,16.97,F
1258,20050104,DIxPRE,681,16.96,F
1259,20050104,DIxPRE,687,16.96,M
1260,20050104,DIxPRE,701,16.95,F
1261,20050104,DIxPRE,720,16.94,F
1262,20050104,DIxPRE,742,16.92,F
1263,20050104,DIxPRE,749,16.91,M
1264,20050104,DIxPRE,762,16.91,F
1265,20050104,DIxPRE,780,16.91,F
1266,20050104,DIxPRE,802,16.91,F
1267,20050104,DIxPRE,810,16.91,M
1268,20050104,DIxPRE,823,16.91,F
1269,20050104,DIxPRE,872,16.91,M
1270,20050104,DIxPRE,938,16.91,M
1271,20050104,DIxPRE,991,16.91,F
1272,20050104,DIxPRE,1003,16.91,M
1273,20050104,DIxPRE,1237,16.91,F
1274,20050104,DIxPRE,1253,16.91,M
1275,20050104,DIxPRE,1484,16.91,F
1276,20050104,DIxPRE,1504,16.91,M
1277,20050104,DIxPRE,1731,16.91,F
1278,20050104,DIxPRE,1755,16.91,M
1279,20050104,DIxPRE,1980,16.91,F
1216,20050105,DIxPRE,1,17.72,F
1217,20050105,DIxPRE,19,17.92,M
1218,20050105,DIxPRE,22,17.97,F
1219,20050105,DIxPRE,41,18.14,F
1220,20050105,DIxPRE,59,18.27,M
1221,20050105,DIxPRE,61,18.28,F
1222,20050105,DIxPRE,82,18.34,F
1223,20050105,DIxPRE,103,18.37,F
1224,20050105,DIxPRE,122,18.39,M
1225,20050105,DIxPRE,125,18.38,F
1226,20050105,DIxPRE,145,18.35,F
1227,20050105,DIxPRE,167,18.32,F
1228,20050105,DIxPRE,187,18.3,F
1229,20050105,DIxPRE,207,18.18,F
1230,20050105,DIxPRE,227,18.09,F
1231,20050105,DIxPRE,249,18.0,F
1232,20050105,DIxPRE,269,17.9,F
1233,20050105,DIxPRE,289,17.81,F
1234,20050105,DIxPRE,311,17.72,F
1235,20050105,DIxPRE,312,17.72,M
1236,20050105,DIxPRE,330,17.65,F
1237,20050105,DIxPRE,350,17.58,F
1238,20050105,DIxPRE,371,17.52,F
1239,20050105,DIxPRE,373,17.51,M
1240,20050105,DIxPRE,393,17.46,F
1241,20050105,DIxPRE,413,17.41,F
1242,20050105,DIxPRE,434,17.37,F
1243,20050105,DIxPRE,437,17.36,M
1244,20050105,DIxPRE,455,17.33,F
1245,20050105,DIxPRE,474,17.3,F
1246,20050105,DIxPRE,494,17.27,F
1247,20050105,DIxPRE,498,17.26,M
1248,20050105,DIxPRE,515,17.24,F
1249,20050105,DIxPRE,535,17.21,F
1250,20050105,DIxPRE,555,17.19,F
1251,20050105,DIxPRE,560,17.18,M
1252,20050105,DIxPRE,576,17.16,F
1253,20050105,DIxPRE,597,17.14,F
1254,20050105,DIxPRE,617,17.12,F
1255,20050105,DIxPRE,622,17.11,M
1256,20050105,DIxPRE,638,17.1,F
1257,20050105,DIxPRE,660,17.09,F
1258,20050105,DIxPRE,681,17.08,F
1259,20050105,DIxPRE,686,17.08,M
1260,20050105,DIxPRE,700,17.07,F
1261,20050105,DIxPRE,720,17.05,F
1262,20050105,DIxPRE,742,17.03,F
1263,20050105,DIxPRE,748,17.03,M
1264,20050105,DIxPRE,761,17.03,F
1265,20050105,DIxPRE,780,17.03,F
1266,20050105,DIxPRE,802,17.03,F
1267,20050105,DIxPRE,809,17.03,M
1268,20050105,DIxPRE,823,17.03,F
1269,20050105,DIxPRE,871,17.03,M
1270,20050105,DIxPRE,937,17.03,M
1271,20050105,DIxPRE,990,17.03,F
1272,20050105,DIxPRE,1002,17.03,M
1273,20050105,DIxPRE,1237,17.03,F
1274,20050105,DIxPRE,1252,17.03,M
1275,20050105,DIxPRE,1483,17.03,F
1276,20050105,DIxPRE,1503,17.03,M
1277,20050105,DIxPRE,1731,17.03,F
1278,20050105,DIxPRE,1754,17.03,M
1279,20050105,DIxPRE,1980,17.03,F
1197,20050106,DIxPRE,1,17.72,F
1198,20050106,DIxPRE,18,17.95,M
1199,20050106,DIxPRE,22,18.02,F
1200,20050106,DIxPRE,40,18.2,F
1201,20050106,DIxPRE,58,18.34,M
1202,20050106,DIxPRE,61,18.36,F
1203,20050106,DIxPRE,82,18.43,F
1204,20050106,DIxPRE,102,18.47,F
1205,20050106,DIxPRE,121,18.5,M
1206,20050106,DIxPRE,124,18.5,F
1207,20050106,DIxPRE,145,18.48,F
1208,20050106,DIxPRE,167,18.46,F
1209,20050106,DIxPRE,186,18.45,F
1210,20050106,DIxPRE,207,18.34,F
1211,20050106,DIxPRE,227,18.26,F
1212,20050106,DIxPRE,248,18.19,F
1213,20050106,DIxPRE,269,18.09,F
1214,20050106,DIxPRE,289,18.0,F
1215,20050106,DIxPRE,311,17.92,F
1216,20050106,DIxPRE,329,17.86,F
1217,20050106,DIxPRE,350,17.79,F
1218,20050106,DIxPRE,371,17.73,F
1219,20050106,DIxPRE,372,17.73,M
1220,20050106,DIxPRE,392,17.68,F
1221,20050106,DIxPRE,413,17.64,F
1222,20050106,DIxPRE,434,17.6,F
1223,20050106,DIxPRE,436,17.6,M
1224,20050106,DIxPRE,455,17.56,F
1225,20050106,DIxPRE,473,17.53,F
1226,20050106,DIxPRE,494,17.49,F
1227,20050106,DIxPRE,497,17.48,M
1228,20050106,DIxPRE,515,17.45,F
1229,20050106,DIxPRE,534,17.43,F
1230,20050106,DIxPRE,555,17.4,F
1231,20050106,DIxPRE,559,17.4,M
1232,20050106,DIxPRE,576,17.39,F
1233,20050106,DIxPRE,597,17.37,F
1234,20050106,DIxPRE,616,17.35,F
1235,20050106,DIxPRE,621,17.35,M
1236,20050106,DIxPRE,638,17.34,F
1237,20050106,DIxPRE,660,17.33,F
1238,20050106,DIxPRE,680,17.32,F
1239,20050106,DIxPRE,685,17.32,M
1240,20050106,DIxPRE,700,17.31,F
1241,20050106,DIxPRE,720,17.29,F
1242,20050106,DIxPRE,742,17.27,F
