,Data do Pregao,Ativo,DU,Taxa,Fixo/Movel
1105,20060102,IBOVESPA,1,33157.7,F
1106,20060102,IBOVESPA,22,33654.34,F
1107,20060102,IBOVESPA,42,34072.96,F
1108,20060102,IBOVESPA,63,34532.89,F
1109,20060102,IBOVESPA,81,34916.39,F
1110,20060102,IBOVESPA,103,35375.41,F
1111,20060102,IBOVESPA,124,35819.66,M
1112,20060102,IBOVESPA,126,35862.4,F
1113,20060102,IBOVESPA,144,36245.34,F
1114,20060102,IBOVESPA,166,36717.42,F
1115,20060102,IBOVESPA,187,37174.59,F
1116,20060102,IBOVESPA,188,37197.2,M
1117,20060102,IBOVESPA,207,37610.89,F
1118,20060102,IBOVESPA,226,38008.61,F
1119,20060102,IBOVESPA,249,38500.82,M
1120,20060102,IBOVESPA,253,38590.38,F
1121,20060102,IBOVESPA,268,38922.74,F
1122,20060102,IBOVESPA,286,39322.69,F
1123,20060102,IBOVESPA,308,39818.64,F
1124,20060102,IBOVESPA,311,39885.71,M
1125,20060102,IBOVESPA,329,40293.25,F
1126,20060102,IBOVESPA,349,40750.7,F
1127,20060102,IBOVESPA,369,41215.69,F
1128,20060102,IBOVESPA,373,41308.0,M
1129,20060102,IBOVESPA,391,41721.78,F
1130,20060102,IBOVESPA,413,42230.25,F
1131,20060102,IBOVESPA,432,42678.67,F
1132,20060102,IBOVESPA,437,42797.43,M
1133,20060102,IBOVESPA,453,43166.69,F
1134,20060102,IBOVESPA,473,43638.16,F
1135,20060102,IBOVESPA,494,44137.34,F
1136,20060102,IBOVESPA,499,44250.45,M
1137,20060102,IBOVESPA,513,44595.2,F
1138,20060102,IBOVESPA,533,45089.7,F
1139,20060102,IBOVESPA,554,45622.72,F
1140,20060102,IBOVESPA,560,45772.17,M
1141,20060102,IBOVESPA,574,46134.12,F
1142,20060102,IBOVESPA,594,46649.97,F
1143,20060102,IBOVESPA,615,47197.42,F
1144,20060102,IBOVESPA,622,47377.65,M
1145,20060102,IBOVESPA,636,47739.51,F
1146,20060102,IBOVESPA,657,48285.73,F
1147,20060102,IBOVESPA,679,48864.02,F
1148,20060102,IBOVESPA,688,49104.57,M
1149,20060102,IBOVESPA,701,49446.98,F
1150,20060102,IBOVESPA,721,49989.98,F
1151,20060102,IBOVESPA,743,50582.25,F
1152,20060102,IBOVESPA,753,50844.66,M
1153,20060102,IBOVESPA,763,51121.1,F
1154,20060102,IBOVESPA,784,51692.85,F
1155,20060102,IBOVESPA,803,52209.58,F
1156,20060102,IBOVESPA,824,52803.94,F
1157,20060102,IBOVESPA,875,54250.53,M
1158,20060102,IBOVESPA,940,56146.32,M
1159,20060102,IBOVESPA,990,57644.78,F
1160,20060102,IBOVESPA,1003,58045.25,M
1161,20060102,IBOVESPA,1235,65491.42,F
1162,20060102,IBOVESPA,1254,66124.07,M
1163,20060102,IBOVESPA,1484,74518.64,F
1164,20060102,IBOVESPA,1505,75338.78,M
1165,20060102,IBOVESPA,1731,84717.73,F
1166,20060102,IBOVESPA,1981,96484.75,F
1167,20060102,IBOVESPA,2230,109844.26,F
1168,20060102,IBOVESPA,2476,124830.42,F
1169,20060102,IBOVESPA,3012,164955.98,F
1314,20060103,IBOVESPA,1,34309.46,M
1315,20060103,IBOVESPA,21,34805.76,M
1316,20060103,IBOVESPA,22,34823.79,F
1317,20060103,IBOVESPA,39,35206.42,M
1318,20060103,IBOVESPA,42,35288.23,F
1319,20060103,IBOVESPA,62,35709.22,F
1320,20060103,IBOVESPA,80,36106.5,M
1321,20060103,IBOVESPA,81,36128.25,F
1322,20060103,IBOVESPA,103,36602.65,F
1323,20060103,IBOVESPA,123,37040.48,M
1324,20060103,IBOVESPA,125,37084.66,F
1325,20060103,IBOVESPA,144,37501.71,F
1326,20060103,IBOVESPA,166,37991.72,F
1327,20060103,IBOVESPA,187,38464.48,F
1328,20060103,IBOVESPA,206,38894.83,F
1329,20060103,IBOVESPA,226,39353.71,F
1330,20060103,IBOVESPA,248,39863.27,M
1331,20060103,IBOVESPA,252,39952.56,F
1332,20060103,IBOVESPA,267,40296.37,F
1333,20060103,IBOVESPA,286,40734.44,F
1334,20060103,IBOVESPA,308,41247.72,F
1335,20060103,IBOVESPA,310,41292.53,M
1336,20060103,IBOVESPA,329,41738.9,F
1337,20060103,IBOVESPA,348,42192.36,F
1338,20060103,IBOVESPA,369,42698.96,F
1339,20060103,IBOVESPA,372,42774.74,M
1340,20060103,IBOVESPA,391,43223.09,F
1341,20060103,IBOVESPA,412,43730.17,F
1342,20060103,IBOVESPA,432,44214.11,F
1343,20060103,IBOVESPA,436,44311.17,M
1344,20060103,IBOVESPA,453,44719.5,F
1345,20060103,IBOVESPA,473,45200.45,F
1346,20060103,IBOVESPA,493,45690.51,F
1347,20060103,IBOVESPA,498,45815.32,M
1348,20060103,IBOVESPA,513,46190.83,F
1349,20060103,IBOVESPA,533,46702.6,F
1350,20060103,IBOVESPA,553,47218.08,F
1351,20060103,IBOVESPA,559,47372.54,M
1352,20060103,IBOVESPA,573,47746.67,F
1353,20060103,IBOVESPA,594,48307.62,F
1354,20060103,IBOVESPA,615,48873.74,F
1355,20060103,IBOVESPA,621,49042.42,M
1356,20060103,IBOVESPA,635,49416.72,F
1357,20060103,IBOVESPA,657,50010.34,F
1358,20060103,IBOVESPA,679,50620.6,F
1359,20060103,IBOVESPA,687,50840.69,M
1360,20060103,IBOVESPA,700,51195.18,F
1361,20060103,IBOVESPA,721,51774.03,F
1362,20060103,IBOVESPA,743,52400.31,F
1363,20060103,IBOVESPA,752,52655.76,M
1364,20060103,IBOVESPA,763,52972.31,F
1365,20060103,IBOVESPA,783,53549.08,F
1366,20060103,IBOVESPA,803,54130.63,F
1367,20060103,IBOVESPA,813,54423.21,M
1368,20060103,IBOVESPA,824,54747.99,F
1369,20060103,IBOVESPA,874,56252.69,M
1370,20060103,IBOVESPA,939,58224.88,M
1371,20060103,IBOVESPA,989,59702.46,F
1372,20060103,IBOVESPA,1002,60096.72,M
1373,20060103,IBOVESPA,1125,64098.03,M
1374,20060103,IBOVESPA,1235,67842.97,F
1375,20060103,IBOVESPA,1253,68460.52,M
1376,20060103,IBOVESPA,1377,72986.61,M
1377,20060103,IBOVESPA,1484,77153.86,F
1378,20060103,IBOVESPA,1504,77959.86,M
1379,20060103,IBOVESPA,1731,87705.41,F
1380,20060103,IBOVESPA,1755,88799.39,M
1381,20060103,IBOVESPA,1981,99809.65,F
1382,20060103,IBOVESPA,2008,101201.56,M
1383,20060103,IBOVESPA,2229,113460.71,F
1384,20060103,IBOVESPA,2261,115334.17,M
1385,20060103,IBOVESPA,2476,128975.85,F
1386,20060103,IBOVESPA,3011,170069.21,F
1332,20060104,IBOVESPA,1,34946.86,F
1333,20060104,IBOVESPA,20,35222.03,M
1334,20060104,IBOVESPA,22,35243.42,F
1335,20060104,IBOVESPA,38,35658.78,M
1336,20060104,IBOVESPA,41,35725.13,F
1337,20060104,IBOVESPA,61,36116.67,M
1338,20060104,IBOVESPA,62,36138.81,F
1339,20060104,IBOVESPA,79,36518.41,M
1340,20060104,IBOVESPA,81,36561.41,F
1341,20060104,IBOVESPA,103,37041.95,F
1342,20060104,IBOVESPA,122,37461.41,M
