,Ativo,Tipo de opcao,Vencimento,DU,DC,Delta,Vol,Data
6228,IBOV11,C,20161116,7,12,1,27.70103056904376,20161104
6229,IBOV11,C,20161116,7,12,10,29.194962349938766,20161104
6230,IBOV11,C,20161116,7,12,25,30.572679572181467,20161104
6231,IBOV11,C,20161116,7,12,37,31.52714245378524,20161104
6232,IBOV11,C,20161116,7,12,50,32.58028573132897,20161104
6233,IBOV11,C,20161116,7,12,63,33.76670581045025,20161104
6234,IBOV11,C,20161116,7,12,75,35.139560378252646,20161104
6235,IBOV11,C,20161116,7,12,90,37.97086693065119,20161104
6236,IBOV11,C,20161116,7,12,99,44.212468037257864,20161104
6237,IBOV11,V,20161116,7,12,-1,47.05520267994071,20161104
6238,IBOV11,V,20161116,7,12,-10,39.07441167593872,20161104
6239,IBOV11,V,20161116,7,12,-25,35.75864571265004,20161104
6240,IBOV11,V,20161116,7,12,-37,34.252901835546325,20161104
6241,IBOV11,V,20161116,7,12,-50,33.02551107222762,20161104
6242,IBOV11,V,20161116,7,12,-63,32.012870654239805,20161104
6243,IBOV11,V,20161116,7,12,-75,31.182266273484398,20161104
6244,IBOV11,V,20161116,7,12,-90,30.223623852642927,20161104
6245,IBOV11,V,20161116,7,12,-99,30.06334229439229,20161104
6246,IBOV11,C,20161214,27,40,1,21.785583068077663,20161104
6247,IBOV11,C,20161214,27,40,10,22.093285487923147,20161104
6248,IBOV11,C,20161214,27,40,25,22.799277575337033,20161104
6249,IBOV11,C,20161214,27,40,37,23.375190292264648,20161104
6250,IBOV11,C,20161214,27,40,50,24.060519405675112,20161104
6251,IBOV11,C,20161214,27,40,63,24.87711651900581,20161104
6252,IBOV11,C,20161214,27,40,75,25.86546418889877,20161104
6253,IBOV11,C,20161214,27,40,90,28.00851790584261,20161104
6254,IBOV11,C,20161214,27,40,99,33.05375029656282,20161104
6255,IBOV11,V,20161214,27,40,-1,38.53087758136326,20161104
6256,IBOV11,V,20161214,27,40,-10,30.15889660623998,20161104
6257,IBOV11,V,20161214,27,40,-25,27.059577078300123,20161104
6258,IBOV11,V,20161214,27,40,-37,25.77797129115768,20161104
6259,IBOV11,V,20161214,27,40,-50,24.82783288800781,20161104
6260,IBOV11,V,20161214,27,40,-63,24.14773389972987,20161104
6261,IBOV11,V,20161214,27,40,-75,23.71739712599643,20161104
6262,IBOV11,V,20161214,27,40,-90,23.617376907533288,20161104
6263,IBOV11,V,20161214,27,40,-99,25.490524741830644,20161104
6264,IBOV11,C,20170118,52,75,1,23.688180105527863,20161104
6265,IBOV11,C,20170118,52,75,10,21.432122022015392,20161104
6266,IBOV11,C,20170118,52,75,25,21.490152910046163,20161104
