;Ativo;Tipo de opcao;Vencimento;DU;DC;Delta;Vol;Data
5310;IBOV11;C;20180117;11;15;1;16.51231233;20180102
5311;IBOV11;C;20180117;11;15;10;16.22084588;20180102
5312;IBOV11;C;20180117;11;15;25;16.27569506;20180102
5313;IBOV11;C;20180117;11;15;37;16.37932886;20180102
5314;IBOV11;C;20180117;11;15;50;16.53027403;20180102
5315;IBOV11;C;20180117;11;15;63;16.7317714;20180102
5316;IBOV11;C;20180117;11;15;75;16.99399241;20180102
5317;IBOV11;C;20180117;11;15;90;17.59854647;20180102
5318;IBOV11;C;20180117;11;15;99;19.08919974;20180102
5319;IBOV11;V;20180117;11;15;-1;22.51367225;20180102
5320;IBOV11;V;20180117;11;15;-10;20.30150294;20180102
5321;IBOV11;V;20180117;11;15;-25;18.53759399;20180102
5322;IBOV11;V;20180117;11;15;-37;17.94676137;20180102
5323;IBOV11;V;20180117;11;15;-50;17.60318772;20180102
5324;IBOV11;V;20180117;11;15;-63;17.44038078;20180102
5325;IBOV11;V;20180117;11;15;-75;17.44791607;20180102
5326;IBOV11;V;20180117;11;15;-90;17.9925502;20180102
5327;IBOV11;V;20180117;11;15;-99;20.6672083;20180102
5328;IBOV11;C;20180214;29;43;1;16.87073911;20180102
5329;IBOV11;C;20180214;29;43;10;17.36895789;20180102
5330;IBOV11;C;20180214;29;43;25;17.78818691;20180102
5331;IBOV11;C;20180214;29;43;37;18.06873675;20180102
5332;IBOV11;C;20180214;29;43;50;18.37170721;20180102
5333;IBOV11;C;20180214;29;43;63;18.70635228;20180102
5334;IBOV11;C;20180214;29;43;75;19.08619624;20180102
5335;IBOV11;C;20180214;29;43;90;19.84876203;20180102
5336;IBOV11;C;20180214;29;43;99;21.45133123;20180102
5337;IBOV11;V;20180214;29;43;-1;26.97744685;20180102
5338;IBOV11;V;20180214;29;43;-10;22.29728852;20180102
5339;IBOV11;V;20180214;29;43;-25;20.58590303;20180102
5340;IBOV11;V;20180214;29;43;-37;19.89885831;20180102
5341;IBOV11;V;20180214;29;43;-50;19.41153846;20180102
5342;IBOV11;V;20180214;29;43;-63;19.09238882;20180102
5343;IBOV11;V;20180214;29;43;-75;18.9347671;20180102
5344;IBOV11;V;20180214;29;43;-90;19.08030087;20180102
5345;IBOV11;V;20180214;29;43;-99;20.65260615;20180102
5346;IBOV11;C;20180314;49;71;1;20.76048468;20180102
5347;IBOV11;C;20180314;49;71;10;18.8455183;20180102
5348;IBOV11;C;20180314;49;71;25;18.9168704;20180102
5349;IBOV11;C;20180314;49;71;37;19.1624737;20180102
5350;IBOV11;C;20180314;49;71;50;19.54733053;20180102
5351;IBOV11;C;20180314;49;71;63;20.11477297;20180102
5352;IBOV11;C;20180314;49;71;75;20.95573762;20180102
5353;IBOV11;C;20180314;49;71;90;23.13701004;20180102
5354;IBOV11;C;20180314;49;71;99;25.29837777;20180102
5355;IBOV11;V;20180314;49;71;-1;27.5062098;20180102
5356;IBOV11;V;20180314;49;71;-10;25.06279392;20180102
5357;IBOV11;V;20180314;49;71;-25;22.59867845;20180102
5358;IBOV11;V;20180314;49;71;-37;21.67254669;20180102
5359;IBOV11;V;20180314;49;71;-50;21.05919891;20180102
